title,latitude,longitude,description
Bryant Park,40.70497244,-74.01366226,6th Avenue & 42nd Street<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Bryant_Park_New_York_NY_6144.aspx
Chelsea Market,40.75374089,-73.98356297,75 Ninth Avenue<br>http://www.chelseamarket.com/
City Hall Park,40.74255431,-74.00605188,corner Broadway and Murray Street<br>http://www.downtownny.com/wireless.asp
EVill Net,40.71226038,-74.00705191,Avenue A & Avenue B 2nd & 10th Streets<br>http://www.magicbike.net/evill/faq.html
Groovy Greenwich Village Node,40.72502246,-73.98291343,Covers cafes around the corner of  MacDougal St &<br>http://auth.nycwireless.net/hotspots_map.php
Location One,40.7291683,-74.00119065,26 Greene Street<br>http://www.nyc.gov/html/dot/html/ferrybus/statfery.shtml
Washington Market Park,40.70116275,-74.01328279,corner Chambers St. and Greenwich St.<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Washington_Market_Park_New_York_NY_18297.aspx
Winter Garden In the World Financial Center,40.71706062,-74.01143538,West Side Highway between Vessey St. and Liberty S<br>http://www.openwifinyc.com/classic/index.php
South Street Seaport,40.71314063,-74.01541701,South Street and Fulton Street<br>http://www.downtownny.com/discover/wifi/
Tompkins Square Park,40.70556885,-74.00163025,500 E 9th St<br>http://auth.nycwireless.net/hotspots_map.php
'sNice,40.72634799,-73.98171167,45 8th Ave<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_sNice_New_York_NY_6740.aspx
Ace Bar,40.7384757,-74.00407043,531 East 5th Street<br>http://maps.google.com/maps?hl=en&ie=UTF-8&q=ace+bar+nyc&fb=1&split=1&gl=us&view=text&latlng=16021670854050475894&dtab=1&ei=i5NkSoaCNYrCNb2l-OwL&oi=md_structdata&sa=X
Apple Store Soho,40.72439665,-73.98287751,103 Prince St<br>http://www.apple.com
ARK Communications,40.72511979,-73.99897538,90 Stanton Street<br>http://usatoday.jiwire.com/wi-fi-wireless-hotspot-New-York-New-York-NY-US-ARK-Comm
Blue Spoon Coffee Company,40.7214769,-73.98823196,76 Chambers St<br>http://www.bluespooncoffee.com/
Bowery Poetry Club,40.7142723,-74.00696194,308 Bowery<br>http://www.bowerypoetry.com/
Cassava,40.72495762,-73.99271224,474 6th Ave<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Cassava_Bubble_Tea_New_York_NY_6209.aspx
Choux Factory,40.73574198,-73.99769785,1685 First Avenue<br>http://www.yelp.com/biz/choux-factory-new-york-city
Circa Tabac,40.77792018,-73.94899203,32 Watts Street<br>http://www.nyu.edu/src/cityguide/cityinfo.html
Cornelia Street Cafe,40.72368146,-74.0043834,13 Cornelia Street<br>http://www.corneliastreetcafe.com/home.asp
The Downtown Uptown Café  Lounge,40.7316523,-74.00181852,1626 Second Avenue<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Downtown_Uptown_Cafe_Lounge_New_York_NY_12093.aspx
The Downtown Uptown Café  Lounge,40.77662061,-73.95232922,41 Avenue B<br>http://www.nyu.edu/src/cityguide/cityinfo.html
Dunkin Donuts,40.72284308,-73.98261094,166 2nd Ave<br>http://www.openwifinyc.com/classic/a/Dunkin-Donuts-2nd-Ave-NY-10003
Earth Matters,40.72990858,-73.9863218,177 Ludlow St.<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Earth_Matters_New_York_NY_12189.aspx
Esperanto Cafe,40.72197364,-73.98765465,114 MacDougal Street<br>http://www.nyu.edu/src/cityguide/cityinfo.html
Grounded,40.72962943,-74.00050874,28 Jane Street<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Grounded_New_York_NY_6424.aspx
Hecht Viewing Garden,40.73801186,-74.00339561,3 Av & 9 St<br>http://evpcnyc.org/hecht/index.html
Jeremy's Ale House,40.72995831,-73.98934175,228 Front Street<br>http://www.jeremysalehouse.com/
Lalita Java Espresso Bar and Coffee Lounge,40.70772623,-74.00210641,210 East Third St.<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Lalita_Java_Espresso_Bar_and_Coffee_Lounge_New_York_NY_14112.aspx
NewsCafe on Broadway,40.72240945,-73.98291771,11 Broadway<br>http://usatoday.jiwire.com/wi-fi-wireless-hotspot-New-York-New-York-NY-US-NewsCafe-on-Broadway-1020785.htm
Parish & Co Restaurant,40.7051206,-74.01414559,202 Ninth Avenue<br>http://www.nyu.edu/src/cityguide/cityinfo.html
Soy Luck Club,40.74592227,-74.00135335,115 Greenwich Avenue<br>http://www.soyluckclub.com/
St. Dymphna's,40.73829185,-74.00237441,118 St. Mark's Place<br>http://www.nyu.edu/src/cityguide/cityinfo.html
Startegy Atrium and Cafe,40.72692474,-73.98406026,115 E. 57th St.<br>http://www.openwifispots.com/citylist_free_wifi_wireless_hotspot-New_York_NY.aspx
Starwich Salads & Sandwiches,40.76170883,-73.96974993,525 West 42nd Street<br>http://www.nyu.edu/src/cityguide/cityinfo.html
Starwich Salads & Sandwiches,40.76041724,-73.99659964,1010 Sixth Avenue<br>http://maps.google.com/maps?f=q&source=s_q&view=text&hl=en&gl=us&q=Starwich+Salads+%26+Sandwiches&ie=UTF8&sll=40.733004
State of Grace Pub,40.7519516,-73.98569288,1074 1st Ave<br>http://usatoday.jiwire.com/wi-fi-wireless-hotspot-New-York-New-York-NY-US-State-of-Grace-Pub-1251393.htm
Sunburst Espresso Bar,40.75917862,-73.9619831,206 3rd Avenue<br>http://www.yelp.com/biz/sunburst-espresso-bar-new-york
Sympathy for the Kettle,40.73610065,-73.98553029,109 St. Marks Place<br>http://www.yelp.com/biz/sympathy-for-the-kettle-new-york-2
Tea Spot,40.72721566,-73.98387979,127 Macdougal St.<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Tea_Spot_New_York_NY_5991.aspx
Tekserve,40.73063127,-74.00015515,119 West 23rd St.<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Tekserve_Corp_New_York_NY_17267.aspx
Veniero's Pasticceria & Caffe,40.74358905,-73.99333453,342 East 11th Street<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Venieros_Pasticceria_and_Caffe_New_York_NY_18191.aspx
Ziggies Cafe & Coffeehouse,40.72942253,-73.98452149,1817 2nd Avenue<br>http://www.nyu.edu/src/cityguide/cityinfo.html
Barnes & Noble,40.7831623,-73.94824777,1280 Lexington Ave<br>http://www.barnesandnobleinc.com
Barnes & Noble,40.77997323,-73.95557653,240 East 86th Street<br>http://www.barnesandnobleinc.com
Barnes & Noble,40.77794644,-73.9526424,2289 Broadway<br>http://www.barnesandnobleinc.com
Barnes & Noble,40.78626526,-73.97869798,1972 Broadway<br>http://www.barnesandnobleinc.com
Barnes & Noble,40.77406544,-73.98179243,33 East 17th Street<br>http://www.barnesandnobleinc.com
Barnes & Noble,40.73715231,-73.98940555,160 E 54th Street<br>http://www.barnesandnobleinc.com
Barnes & Noble,40.75850573,-73.96978387,675 Avenue Of The Americas<br>http://www.barnesandnobleinc.com
Barnes & Noble,40.74212613,-73.99398785,555 5th Ave<br>http://www.barnesandnobleinc.com
Barnes & Noble,40.75568066,-73.97882326,4 Astor Place<br>http://www.barnesandnobleinc.com
Cosi,40.72973073,-73.99227514,2186 Broadway<br>http://www.getcosi.com
Cosi,40.78252502,-73.98028201,60 East 56th Street<br>http://www.getcosi.com
Cosi,40.76114406,-73.9723059,1633 Broadway<br>http://www.getcosi.com
Cosi,40.76217567,-73.9848532,61 West 48th Street<br>http://www.getcosi.com
Cosi,40.75873038,-73.98057657,257 Park Avenue<br>http://www.getcosi.com
Cosi,40.75500206,-73.97555333,38 East 45th Street<br>http://www.getcosi.com
Cosi,40.75426682,-73.97731498,685 3rd Avenue<br>http://www.getcosi.com
Cosi,40.75157886,-73.97332768,498 7th Avenue<br>http://www.getcosi.com
Cosi,40.75284685,-73.99001664,461 Park Avenue South<br>http://www.getcosi.com
Cosi,40.74513592,-73.98227311,200 Vesey Street<br>http://www.getcosi.com
Cosi,40.7135634,-74.014858,55 Broad Street<br>http://www.getcosi.com
Cosi,40.70528013,-74.01104383,841 Broadway<br>http://www.getcosi.com
Cosi,40.73432811,-73.99118851,11 West 42nd Street<br>http://www.getcosi.com
Vietnam Veterans Memorial Plaza,40.75407821,-73.98164991,55 Water Street<br>http://www.downtownny.com/discover/wifi/
Union Square Park,40.7032135,-74.00907427,4th Avenue & Broadway<br>http://www.unionsquarenyc.org/
Rector Park,40.73581961,-73.99039724,Madison Avenue and 23rd Street<br>http://www.nycgovparks.org/parks/madisonsquarepark
Brooklyn Bridge Park,40.74222173,-73.9880226,92 Plymouth Street<br>http://auth.nycwireless.net/hotspots_map.php
Apple Store,40.70437995,-73.99007439,767 5th Avenue<br>http://www.apple.com/retail/fifthavenue/
Bway.net,40.7635512,-73.97229407,568 Broadway<br>http://auth.nycwireless.net/node_list.php
Community Access,40.72423869,-73.99719677,1363 Franklin Avenue<br>http://auth.nycwireless.net/node_list.php
Community Access,40.83325294,-73.90114429,910 DeKalb Avenue<br>http://auth.nycwireless.net/node_list.php
Coogan's,40.69250427,-73.93936072,600 West 169th Street<br>http://dumbonyc.com/2008/05/14/155water-greendesk/
Laundry King,40.70330653,-73.98779155,9814 4th Avenue<br>http://www.thefatblackpussycat.com/gallery.html
Golden Krust Bakery& Grill,40.73062303,-74.00092728,408 8th Ave<br>http://nymag.com/listings/restaurant/Golden-Krust-Bakery/
Stuyvesant Cove Park,40.74979226,-73.99480283,23rd Street and East River Drive<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Stuyvesant_Cove_Park_New_York_NY_24465.aspx
Subway,40.73283511,-73.97398467,2438 Jerome Ave<br>http://auth.nycwireless.net/node_list.php
Stone Street,40.8621383,-73.90121704,Stone Street<br>http://www.downtownny.com/discover/wifi/
Chevys Fresh Mex Restaurant,40.70424816,-74.0104738,102 North End Avenue<br>http://www.chevysny.com
Citywidetech.com,40.71500534,-74.01524213,514 W 176th Street<br>http://www.citywidetech.com
Cosi,40.84514179,-73.93431601,320 Park Avenue<br>http://www.getcosi.com
Equinox 102 - Broadway @ 19th,40.75768729,-73.97421712,897 Broadway<br>http://www.equinoxfitness.com/
Equinox 106 - 2nd Ave @ 54th,40.73906313,-73.99018251,250 East 54th Street<br>http://www.equinoxfitness.com/
Equinox 107 - Broadway @ 50th,40.75733159,-73.96717016,1633 Broadway<br>http://www.equinoxfitness.com/
Equinox 109 - Lexington Ave @ 44th,40.76217556,-73.98485369,420 Lexington Avenue<br>http://www.equinoxfitness.com/
Equinox 110 - Wall St @ Nassau,40.75267176,-73.97587675,14 Wall Street<br>http://www.equinoxfitness.com/
Equinox 114 - Broadway @ Prince,40.70762905,-74.01076991,568 Broadway<br>http://www.equinoxfitness.com/
Morans,40.72423742,-73.99719586,103 Washington Street<br>http://www.moransnyc.com
SidewayZen,40.70837513,-74.01407693,410 West 24th St<br>http://sidewayzen.com
Slainte Pub NYC,40.74699998,-74.00142298,304 Bowery St<br>http://www.slaintenyc.com
McDonalds,40.72479243,-73.99271654,7th Ave & West 32nd St<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.75027445,-73.991954,901 6th Avenue<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.7491551,-73.98927372,341 5th Avenue<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.74796333,-73.9845244,480 3rd Avenue<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.74497344,-73.97908289,429 7th Avenue<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.75048092,-73.99058725,490 8th Ave<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.75247926,-73.99284638,972 6th Ave<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.75078521,-73.98672897,427 10th Avenue<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.75428278,-73.99970042,556 7th Ave<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.75472684,-73.98832354,280 Madison Ave<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.75150622,-73.98065447,220 West 42nd Street<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.75616781,-73.98816447,688 8th Avenue<br>http://www.mcdonalds.com/wireless.html
Queens Library - Windsor Park,40.75805351,-73.98875972,79-50 Bell Boulevard<br>http://www.queenslibrary.org/
Queens Library - Woodhaven,40.7344866,-73.75568167,85-41 Forest Parkway<br>http://www.queenslibrary.org/
JFK International Airport - Jet Blue,40.69454691,-73.86144646,Terminal 5<br>http://www.jetblue.com/about/whyyoulllike/about_WhyWireless.html
Barnes & Noble,40.6457785,-73.77556267,290 Baychester Ave<br>http://www.barnesandnobleinc.com
Barnes & Noble,40.86577294,-73.82981822,2245 Richmond Avenue<br>http://www.barnesandnobleinc.com
Barnes & Noble,40.59224737,-74.16253776,23-80 Bell Blvd.<br>http://www.barnesandnobleinc.com
Wall Street Park,40.78069713,-73.77645545,60 Wall Street<br>http://www.downtownny.com/?sid=49
City Line Diner,40.70624699,-74.00850787,4350 Katonah Ave.<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_City_Line_Diner_Bronx_NY_24466.aspx
Community Access - Avenue D,40.90059811,-73.86751988,107 Avenue D<br>http://www.medianoche.us/
Limeleaf,40.79210575,-73.94536207,128 W 72 Street<br>http://www.menupages.com/restaurants/lime-leaf/
Avalon Bowery Place,40.77770461,-73.97996823,11 East 1st St<br>http://development.inputnine.com/archive/avalon/boweryplace/site/
Cosi,40.72444585,-73.99172034,53 East 8th Street<br>http://www.getcosi.com
Lincoln Center - Damrosch Park,40.73126505,-73.99346762,62nd Street near Amsterdam Avenue<br>http://www.lincolncenter.org/load_screen.asp?screen=wifi
Lincoln Center - Josie Robertson Plaza,40.77230553,-73.98524713,Columbus Avenue between 62nd and 65th Streets<br>http://www.lincolncenter.org/load_screen.asp?screen=wifi
Lincoln Center - North Plaza,40.7723095,-73.98339123,65th Street between Amsterdam Avenue and Columbus Avenue<br>http://www.lincolncenter.org/load_screen.asp?screen=wifi
111 Wadsworth Ave,40.77300233,-73.98367445,111 Wadsworth Ave<br>http://v4.jiwire.com/wi-fi-wireless-hotspot-New-York-New-York-NY-US-111-Wadsworth-Avenue-17B-1284187.htm
404 W 54th Street,40.84807995,-73.93587786,404 W 54th Street<br>http://www.barnesandnobleinc.com
Gizzi's Coffee,40.733365,-73.99938299,16 W. 8th Street<br>http://www.openwifinyc.com/classic/a/Gizzis-Coffee-NY-10011
JFK International Airport - Continental Airlines Presidents Club,40.73259509,-73.99755182,Terminal 3 near Gate 6<br>http://www.continental.com/web/en-US/content/travel/airport/lounge/detaillocations.aspx#New%20York
LaGuardia Airport - Continental Airlines Presidents Club,40.63824581,-73.78528762,Concourse A<br>http://www.continental.com/web/en-US/content/travel/airport/lounge/detaillocations.aspx#New%20York
LaGuardia Airport - Northwest WorldClubs Lounge,40.77394695,-73.87021738,Behind the Northwest ticket counter<br>http://www.continental.com/web/en-US/content/travel/airport/lounge/detaillocations.aspx#New%20York
Wagner Park,40.76856293,-73.86154733,Battery  Place & 1 Place<br>http://www.nycwireless.net/press/wagner-park-gets-hotter-with-wi-fi/
McDonald's,40.70511825,-74.01838215,1101 E Tremont Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.84040977,-73.87689049,4174 White Plains Rd<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.89298108,-73.85725811,513 E 138th St<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.80766949,-73.91882831,2170 White Plains Rd<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.85545388,-73.86731574,1201 E 233rd St<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.88955408,-73.84330847,2357 Arthur Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.85477094,-73.88853625,1600 Boston Rd<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.83549139,-73.8906501,3279 3rd Avenue<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.82517591,-73.90861401,86 E 167th St<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.83506531,-73.91994045,101 E 170th St<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.8396815,-73.91552217,5765 Broadway<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.88405235,-73.90169801,2065 Jerome Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.85432916,-73.90727262,1515 Williamsbridge Rd<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.84449053,-73.84660242,1982 Westchester Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.83320332,-73.85875233,3440-42 Jerome Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.88125123,-73.88244181,982 Southern Blvd<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.82250681,-73.89136154,1600 Bruckner Blvd<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.82255467,-73.87368258,51-67 E 161st St<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.82802869,-73.92526783,212 E 161st Street<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.82494035,-73.92036454,597-99 Grand Concourse<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.81983135,-73.92703654,1745 University Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.8501972,-73.91651367,2630 Jerome Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.86697659,-73.89737379,85 Bruckner Blvd<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.8063237,-73.92566787,1317 Castlehill Avenue<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.83450718,-73.85227011,1212 E Gun Hill Road<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.87260921,-73.85228309,300 E 204th St<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.87281301,-73.87879751,2516 White Plains Rd<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.86405551,-73.86708888,1865 Bruckner Blvd<br>http://www.mcdonalds.com/wireless.html
Starbucks,40.82639169,-73.86164298,1385 Metropolitan Avenue<br>http://www.starbucks.com
Starbucks,40.83538287,-73.86121231,50 W. 225th Street<br>http://www.starbucks.com
T-Mobile,40.87316417,-73.90838896,2883 3rd Ave<br>http://www.t-mobile.com/
T-Mobile,40.81681636,-73.91700715,314 East Fordham Road<br>http://www.t-mobile.com/
The UPS Store,40.86174788,-73.89426192,318a East 149th St<br>http://www.theupsstore.com/
Pinnacle Pizza,40.81668737,-73.92093801,2937 Broadway<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.67754048,-73.89771578,5121 5th Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.64398931,-74.01108413,275-81 Fourth Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.6752518,-73.98423484,1983 86th St<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.60492597,-73.99820655,741 Grand St<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.71198034,-73.9432026,1883 Atlantic Avenue<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.67732107,-73.92253811,35-40 Nostrand Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.6987055,-73.95277442,2154 Nostrand Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.63235391,-73.94798643,2411 86th St<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.59931784,-73.9889989,968 4th Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.65373644,-74.00541313,943 Flatbush Avenue<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.64875534,-73.95797386,1607 Kings Highway<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.60956217,-73.95709454,819 Pennsylvania Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.65786941,-73.88962934,289 9th St<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.66975433,-73.98671265,700 Broadway<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.70135824,-73.94348214,2800 Atlantic Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.67623572,-73.89066968,606 Neptune Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.57955036,-73.97509916,1531 Fulton Street<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.68010104,-73.9401147,57 Empire Blvd<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.6637261,-73.95999375,430 86th St.<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.62208857,-74.02775167,880 Coney Island Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.63580048,-73.96814243,7602 Flatlands Avenue<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.63377565,-73.91551621,2848 Church Avenue<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.65042914,-73.94981747,7124 3rd Ave.<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.63381992,-74.02728458,428 Knickerbocker Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.69931851,-73.91975365,267 Broadway<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.70894034,-73.95891339,5407 Kings Plz<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.61008316,-73.92013823,1101 Rutland Avenue<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.66480279,-73.92350786,652 Meeker Ave<br>http://www.mcdonalds.com/wireless.html
New York Perks,40.72248804,-73.93929375,193 Smith Street<br>http://www.starbucks.com
Starbucks,40.61911611,-73.9897917,7419 3rd Avenue<br>http://www.starbucks.com
Starbucks,40.63152523,-74.02747458,9202 Third Avenue<br>http://www.starbucks.com
Starbucks,40.6192518,-74.03304557,607 Brighton Beach Av<br>http://www.starbucks.com
Starbucks,40.57794904,-73.96123669,167 Court Street<br>http://www.starbucks.com
Starbucks,40.68849068,-73.9925792,50 Court Street<br>http://www.starbucks.com
Starbucks,40.69240857,-73.9912943,33 Hillel Place<br>http://www.starbucks.com
Starbucks,40.63225542,-73.94872507,164 7th Avenue<br>http://www.starbucks.com
The Internet Garage,40.67207499,-73.97755924,218 Bedford Avenue<br>http://www.s-ilink.net
Goal Post,40.67966658,-73.96478652,1752 Bath Ave.<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.72016884,-73.84546358,98-01 METROPOLITAN AVE<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.71125456,-73.85443338,72-69 KISSENA BLVD<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.7274839,-73.81239062,87-88 PARSON BLVD<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.70689005,-73.80262356,159-01 JAMAICA AVENUE<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.70369337,-73.80001098,95-05A 63RD DR<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.72961108,-73.86301655,91-19 QUEEN BLVD<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.73376073,-73.86974468,95-05 57TH AVE<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.73694261,-73.86558874,119-05 LIBERTY AVE<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.68656397,-73.82398279,40-12 NATIONAL ST<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.74955183,-73.86310547,181-25 HILLSIDE AVENUE<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.71357047,-73.78116982,80-03 QUEENS BLVD<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.73813354,-73.88291444,114-01 SUTPHIN BLVD<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.6861616,-73.79329203,37-59 82ND ST<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.74807312,-73.88372706,75-11 ROOSEVELT AVE<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.74723378,-73.88988189,37-19 JUNCTION BLVD<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.75111634,-73.87022325,155-14 ROOSEVELT AVE<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.76381426,-73.80951586,54-29 METROPOLITAN AVE<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.71330938,-73.90971968,59-60 55TH ROAD<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.72628145,-73.90669314,3001 STRATTON ST<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.76965478,-73.83417509,203-11 NORTHERN BLVD<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.75788746,-73.77976447,88-05 ASTORIA BLVD<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.76435211,-73.88093704,159-40 CROSS BAY BLVD<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.65780277,-73.8399459,51-35 NORTHERN BLVD<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.75339545,-73.90834794,54-04 MYRTLE AVE<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.6994462,-73.91053547,45-06 GREENPOINT AVE<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.74171124,-73.91963041,88-14 SPRINGFIELD BLVD<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.72921946,-73.74438851,31-67 STEINWAY ST<br>http://www.mcdonalds.com/wireless.html
NYC Public Library - Baychester Branch,40.7594441,-73.918259,2049 Asch Loop North<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Castel Hill Branch,40.87027917,-73.82861632,947 Castle Hill Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - City Island Branch,40.82661068,-73.85018108,320 City Island Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Clason's Point Branch,40.84769385,-73.78636716,1215 Morrison Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Eastchester Branch,40.82999431,-73.8750199,1385 East Gun Hill Road<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Edenwald Branch,40.87014049,-73.84506443,1255 East 233rd Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Francis Martin Branch,40.88889472,-73.8408362,2150 University Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Hunt's Point Branch,40.85743775,-73.9092746,877 Southern Boulevard<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Jerome Park Branch,40.81868874,-73.89413524,118 Eames Place<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Kingsbridge Branch,40.86904119,-73.90119232,280 West 231st Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Pelham Bay Branch,40.88032201,-73.90798493,3060 Middletown Road<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Riverdale Branch,40.84429396,-73.82788813,5540 Mosholu Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library -Soundview Branch,40.90372441,-73.90277225,660 Soundview Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Spuyten Duyvil Branch,40.81871071,-73.86289095,650 W. 235th St.<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Throg's Neck Branch,40.88627489,-73.91467094,3025 Cross Bronx Expressway Extension<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Van Cortlandt,40.82290464,-73.81909492,3874 Sedgwick Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Van Nest Branch,40.88276095,-73.89392111,2147 Barnes Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Wakefield Branch,40.85487929,-73.86414304,4100 Lowerre Place<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - West Farms Branch,40.89109825,-73.85951905,2085 Honeywell Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Westchester Square,40.84467596,-73.88304498,2521 Glebe Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Woodlawn Heights,40.84110633,-73.84662106,4355 Katonah Avenue<br>http://www.nypl.org/branch/services/wifi.html
